customer_id,frequency,monetary,r_score,f_score,m_score,segment
1000001,35,334093,4,2,2,Potential
1000002,77,810472,2,4,4,At Risk
1000003,29,341635,4,2,2,Potential
1000004,14,206468,5,1,2,Potential
1000005,106,821001,2,4,4,At Risk
1000006,47,379930,3,3,2,Loyal
1000007,17,234668,5,1,2,Potential
1000008,77,796593,2,4,4,At Risk
1000009,58,594099,3,3,3,Loyal
1000010,223,2169510,1,5,5,At Risk
1000011,70,557023,3,3,3,Loyal
1000012,11,120801,5,1,1,Potential
1000013,60,713927,3,3,4,Loyal
1000014,13,127629,5,1,1,Potential
1000015,117,1047728,2,4,4,At Risk
1000016,22,150490,5,1,1,Potential
1000017,115,1425995,2,4,5,At Risk
1000018,180,1979047,1,5,5,At Risk
1000019,145,1458069,1,5,5,At Risk
1000020,12,185747,5,1,1,Potential
1000021,14,127099,5,1,1,Potential
1000022,156,1279914,1,5,4,At Risk
1000023,171,1670998,1,5,5,At Risk
1000024,77,720899,2,4,4,At Risk
1000025,44,534706,3,3,3,Loyal
1000026,226,1606174,1,5,5,At Risk
1000027,42,448934,3,3,3,Loyal
1000028,57,516560,3,3,3,Loyal
1000029,52,696201,3,3,3,Loyal
1000030,31,261584,4,2,2,Potential
1000031,64,496154,3,3,3,Loyal
1000032,24,229049,4,2,2,Potential
1000033,216,1940418,1,5,5,At Risk
1000034,100,807983,2,4,4,At Risk
1000035,111,821303,2,4,4,At Risk
1000036,200,2316570,1,5,5,At Risk
1000037,30,248370,4,2,2,Potential
1000039,41,382339,3,3,2,Loyal
1000041,16,146840,5,1,1,Potential
1000042,125,1483035,2,4,5,At Risk
1000043,14,137916,5,1,1,Potential
1000044,120,1180380,2,4,4,At Risk
1000045,162,928494,1,5,4,At Risk
1000046,21,138729,5,1,1,Potential
1000047,14,131303,5,1,1,Potential
1000048,338,2788504,1,5,5,At Risk
1000049,60,732364,3,3,4,Loyal
1000050,25,198810,4,2,1,Potential
1000051,25,200772,4,2,1,Potential
1000052,42,523039,3,3,3,Loyal
1000053,377,4270371,1,5,5,At Risk
1000054,24,187451,4,2,1,Potential
1000055,14,134320,5,1,1,Potential
1000056,38,383101,4,2,2,Potential
1000057,43,312584,3,3,2,Loyal
1000058,261,2896836,1,5,5,At Risk
1000059,128,980118,2,4,4,At Risk
1000060,36,280029,4,2,2,Potential
1000061,20,156360,5,1,1,Potential
1000062,282,2513618,1,5,5,At Risk
1000063,63,553760,3,3,3,Loyal
1000064,16,210996,5,1,2,Potential
1000065,67,892321,3,3,4,Loyal
1000066,21,225028,5,1,2,Potential
1000067,36,352342,4,2,2,Potential
1000068,43,328655,3,3,2,Loyal
1000069,36,316042,4,2,2,Potential
1000070,26,213769,4,2,2,Potential
1000071,16,157105,5,1,1,Potential
1000072,27,228161,4,2,2,Potential
1000073,134,1428303,2,4,5,At Risk
1000074,29,326298,4,2,2,Potential
1000075,111,1035584,2,4,4,At Risk
1000076,51,597730,3,3,3,Loyal
1000077,22,147847,5,1,1,Potential
1000078,86,582902,2,4,3,At Risk
1000079,17,124538,5,1,1,Potential
1000080,32,339364,4,2,2,Potential
1000081,51,624777,3,3,3,Loyal
1000082,59,645708,3,3,3,Loyal
1000083,53,529959,3,3,3,Loyal
1000084,22,277125,5,1,2,Potential
1000085,19,148849,5,1,1,Potential
1000086,24,294063,4,2,2,Potential
1000087,37,407327,4,2,3,Potential
1000088,33,329348,4,2,2,Potential
1000089,14,112276,5,1,1,Potential
1000090,137,1310621,2,4,4,At Risk
1000091,24,211281,4,2,2,Potential
1000092,223,1573914,1,5,5,At Risk
1000093,115,1275642,2,4,4,At Risk
1000094,7,49288,5,1,1,Potential
1000095,56,580306,3,3,3,Loyal
1000096,43,444238,3,3,3,Loyal
1000097,83,867399,2,4,4,At Risk
1000098,13,154510,5,1,1,Potential
1000099,65,506439,3,3,3,Loyal
1000100,42,461945,3,3,3,Loyal
1000101,66,1138265,3,3,4,Loyal
1000102,87,640517,2,4,3,At Risk
1000103,66,1016837,3,3,4,Loyal
1000104,28,215030,4,2,2,Potential
1000105,41,636115,3,3,3,Loyal
