customer_id,frequency,monetary,category_diversity
1000001,35,334093,11
1000002,77,810472,6
1000003,29,341635,6
1000004,14,206468,2
1000005,106,821001,12
1000006,47,379930,10
1000007,17,234668,4
1000008,77,796593,7
1000009,58,594099,9
1000010,223,2169510,14
1000011,70,557023,11
1000012,11,120801,6
1000013,60,713927,6
1000014,13,127629,5
1000015,117,1047728,11
1000016,22,150490,6
1000017,115,1425995,13
1000018,180,1979047,10
1000019,145,1458069,13
1000020,12,185747,3
1000021,14,127099,6
1000022,156,1279914,11
1000023,171,1670998,13
1000024,77,720899,8
1000025,44,534706,7
1000026,226,1606174,12
1000027,42,448934,9
1000028,57,516560,11
1000029,52,696201,6
1000030,31,261584,10
1000031,64,496154,9
1000032,24,229049,9
1000033,216,1940418,17
1000034,100,807983,11
1000035,111,821303,11
1000036,200,2316570,15
1000037,30,248370,8
1000039,41,382339,10
1000041,16,146840,7
1000042,125,1483035,10
1000043,14,137916,6
1000044,120,1180380,10
1000045,162,928494,9
1000046,21,138729,5
1000047,14,131303,4
1000048,338,2788504,17
1000049,60,732364,10
1000050,25,198810,9
1000051,25,200772,8
1000052,42,523039,3
1000053,377,4270371,15
1000054,24,187451,6
1000055,14,134320,7
1000056,38,383101,6
1000057,43,312584,11
1000058,261,2896836,14
1000059,128,980118,17
1000060,36,280029,9
1000061,20,156360,6
1000062,282,2513618,17
1000063,63,553760,10
1000064,16,210996,6
1000065,67,892321,9
1000066,21,225028,8
1000067,36,352342,5
1000068,43,328655,10
1000069,36,316042,6
1000070,26,213769,10
1000071,16,157105,5
1000072,27,228161,5
1000073,134,1428303,12
1000074,29,326298,7
1000075,111,1035584,7
1000076,51,597730,6
1000077,22,147847,7
1000078,86,582902,8
1000079,17,124538,8
1000080,32,339364,8
1000081,51,624777,11
1000082,59,645708,9
1000083,53,529959,10
1000084,22,277125,5
1000085,19,148849,6
1000086,24,294063,11
1000087,37,407327,5
1000088,33,329348,7
1000089,14,112276,4
1000090,137,1310621,12
1000091,24,211281,4
1000092,223,1573914,11
1000093,115,1275642,7
1000094,7,49288,5
1000095,56,580306,8
1000096,43,444238,8
1000097,83,867399,15
1000098,13,154510,4
1000099,65,506439,10
1000100,42,461945,5
1000101,66,1138265,6
1000102,87,640517,15
1000103,66,1016837,6
1000104,28,215030,7
1000105,41,636115,5
1000106,31,249390,9
1000107,65,578540,13
1000108,14,120872,6
1000109,44,468810,11
1000110,41,435598,6
1000111,55,521270,10
1000112,30,413240,6
1000113,36,360080,9
1000114,52,418019,7
1000116,55,590875,9
1000117,283,2742646,14
1000118,119,1301643,8
1000119,57,420927,7
1000120,33,344419,10
1000121,41,586434,7
1000122,26,271183,3
1000123,352,3237092,14
1000124,15,135998,5
1000125,36,504628,6
1000126,30,333612,7
1000127,100,1171261,13
1000128,13,139414,7
1000129,85,1254181,7
1000130,80,1274878,9
1000131,153,1271991,16
1000132,45,345438,6
1000133,93,801864,12
1000134,102,877630,8
1000135,39,360650,10
1000136,227,1562462,15
1000137,125,1273519,14
1000138,37,593148,7
1000139,137,1500574,14
1000140,33,329084,12
1000141,13,115058,7
1000142,34,301459,10
1000143,37,375743,5
1000144,22,234047,8
1000145,29,195522,10
1000146,238,2257255,15
1000147,95,1094887,8
1000148,339,3617294,19
1000149,334,3775096,16
1000150,135,1226295,13
1000151,283,2560797,13
1000152,18,129138,5
1000153,15,125304,8
1000154,35,281466,9
1000155,54,360236,7
1000156,77,689084,14
1000157,217,2228762,13
1000158,15,185073,8
1000159,24,224129,8
1000160,10,84580,7
1000161,184,1884662,14
1000162,55,686358,9
1000163,271,1633731,13
1000164,18,155793,8
1000165,57,602989,12
1000166,217,2073193,16
1000167,29,187087,7
1000168,14,134698,6
1000169,313,2850607,18
1000170,43,537867,11
1000171,15,208924,6
1000172,15,213016,7
1000173,315,3204716,18
1000174,56,763377,7
1000175,171,1459135,14
1000176,40,319685,4
1000177,31,390156,10
1000178,67,540659,11
1000179,67,486867,10
1000180,31,258592,10
1000181,170,1788678,9
1000182,54,490892,7
1000183,64,660777,11
1000184,53,572948,10
1000185,32,435741,4
1000186,59,652367,11
1000187,244,2253141,13
1000188,42,402282,9
1000189,20,209997,7
1000190,81,778581,11
1000191,17,117371,4
1000192,285,2405988,14
1000193,137,1192531,16
1000194,36,261927,6
1000195,467,4532026,16
1000196,20,227705,8
1000197,17,143662,5
1000198,208,2114755,10
1000199,207,1825465,14
1000200,15,129710,7
1000201,52,465427,8
1000202,379,3195955,10
1000203,65,389087,7
1000204,246,2424484,12
1000205,84,923914,13
1000206,16,152712,7
1000207,13,113722,7
1000208,108,1110185,13
1000209,14,86769,4
1000210,58,883230,2
1000211,21,224683,9
1000212,68,679386,11
1000213,10,98185,6
1000214,94,751975,9
1000215,16,237988,8
1000216,430,3140868,18
1000217,14,144915,7
1000218,50,381736,10
1000219,22,175671,6
1000220,57,620991,12
1000221,19,130967,8
1000222,39,428449,12
1000223,131,1125900,11
1000225,293,2483266,15
1000226,10,93001,3
1000227,17,165449,6
1000228,22,233041,10
1000229,115,910223,11
1000230,100,1071526,14
1000231,55,627709,13
1000232,55,413883,10
1000233,28,273514,7
1000234,21,198175,7
1000235,268,2682668,15
1000236,32,373171,9
1000237,89,660317,11
1000238,140,1188533,8
1000239,39,373618,6
1000240,86,854532,14
1000241,28,335346,7
1000242,166,1533999,13
1000243,14,107183,4
1000244,51,541992,11
1000245,435,2958852,13
1000246,15,135040,4
